TARGET,OEXP,POLARITY
dana beach,would consider going back,Positive
food,good quality,Positive
food,well presented,Positive
walking,not a problem,Positive
holiday,great,StrongPositive
holiday,chill out,Positive
the hotel grounds,always being tended to,Positive
the hotel grounds,well kept,Positive
room cleanliness,of a high standard,Positive
our stay,really enjoyed,StrongPositive
holiday,really enjoyable,StrongPositive
complex,with a lake,Positive
complex,large,Positive
,stay in a better one,Negative
,spend the extra money,Negative
the choices,limited,Negative
it,not like,Negative
hotel,budget,Positive
,not,Negative
,ok,Negative
this hotel,a good option in this category,Positive
the way they solved the food situation,like,Positive
staff,great,StrongPositive
the Grand Palladium jamaica.And,say.Love,StrongPositive
the food,great.And,StrongPositive
private areas by the sea.What,lots of,Positive
people,great,StrongPositive
times,Good,Positive
time.The,great,StrongPositive
the room,a lot different from its foto in the hotel 's internet site,Negative
,ABSOLUTELY NOT VALUE FOR THE MONEY,StrongNegative
attitude,unfriendly,Negative
attitude,completely dissatisfied,StrongNegative
the room,smelling as bad as being in a hospital,Negative
The hotel,very clean !,StrongPositive
the music,really didn 't like,StrongNegative
the a la carte restaurants,missed,Negative
cheese,there were a lot of different kinds of,Positive
the people,spread over 5 restaurants,Positive
it,never so crowded,Positive
that,cosy,Positive
that,more pleasant,Positive
The food,very good,StrongPositive
hotel,Very nice !,StrongPositive
The hotel,very nice,StrongPositive
5 restaurants,have,Positive
Parking,will not honor,Negative
Parking,Free,Positive
here,Do not stay,Negative
Parking,Free,Positive
this,a scam,Negative
this,1.2 euros per hour,Negative
pool,nice,Positive
,Quiet,Positive
internet,free,Positive
beds,big,Positive
,friendly,Positive
hotel bathroom,biggest,StrongPositive
this hotel,will recommend,Positive
,Perfect,StrongPositive
room,the biggest,StrongPositive
Our pitch,smelt of sewage,Negative
swimming pools,totally jammed,StrongNegative
The beaches,totally jammed,StrongNegative
the campsite,weren 't interested,Negative
the campsite,unfriendly,Negative
the campsite,complained,Negative
,smelly,Negative
,Crowded,Negative
,unfriendly,Negative
,noisy,Negative
This place,just awful,StrongNegative
Marseillan plage,a really dirty place,StrongNegative
The bar,plays very loud music,StrongNegative
here,Don 't go,Negative
,AVOID !!!!,StrongNegative
Everything you wish,will be done,Positive
stay,very nice,StrongPositive
It,worn down,Negative
It,not clean,Negative
there,not,Negative
there,Best rooms are in another hotel,Negative
drinks buffet,welcome,Positive
internet,free,Positive
internet,offering,Positive
the whole hotel,looks like a mess,Negative
this hotel,quite an unpleasant experience,Negative
reception staff,friendly,Positive
Location,close to the station,Positive
staff,friendly,Positive
This hotel,has only one,Negative
This hotel,great,Positive
This hotel,thing,Positive
wine,excellent,StrongPositive
food,excellent,StrongPositive
park area,nice,Positive
The service,helpful,Positive
The service,excellent,StrongPositive
The rooms,not big,Negative
The rooms,nicely made,Positive
a rose garden,next to,Positive
the park,next to,Positive
area,calm,Positive
the center of Trier,10 min,Positive
,Best,StrongPositive
Hotel,very friendly,StrongPositive
this hotel,no will be booked,Negative
there,very very unhappy,StrongNegative
refund,no will be possible,Negative
,Unacceptable,StrongNegative
,to be very careful,Negative
Location,perfect,StrongPositive
price / quality rate,Good,Positive
Breakfast,with a lot of choice,Positive
the hotel,rebuilding,Negative
Amsterdam,Close to,Positive
the highway,Close to,Positive
,dirt,Negative
,noise,Negative
breakfast,good,Positive
people,helpful,Positive
people,very nice,StrongPositive
the hotel,Do not recommend yet,Negative
price / quality rate,Good,Positive
The location,ok,Positive
It,15 · 20 minutes easy walk to the city center,Positive
,acceptable,Positive
,not allowed,Negative
The staff,very friendly,StrongPositive
many English channel on TV,There aren 't,Negative
smell around the sitting area,weird,Negative
smell around the sitting area,there was,Negative
,Easy to reach by car,Positive
parking places,there are enough,Positive
The wellness facilities,perfect,StrongPositive
The wellness facilities,can be crowded on saturday,Negative
rooms,Clean,Positive
rooms,renewed,Positive
2 stops,only,Positive
,Relax in the city,Positive
hotel,Perfect,StrongPositive
the real center,just out of,Positive
the money we paid,far too much for what we got !!,Negative
All staff,always willing to help,StrongPositive
All staff,excellent,StrongPositive
services,not even close to 5 star,StrongNegative
employees,running like crazy,Negative
management,lack of,Negative
staff,not enough,Negative
Choice of food,very poor,StrongNegative
all information needed,given,Positive
lack of management,there is,Negative
a five star hotel,not,Negative
First impression,good,Positive
check in,Excellent,StrongPositive
the staff,friendly,Positive
the staff,very helpful,StrongPositive
stay,Very pleasant,StrongPositive
The surroundings,very nice,StrongPositive
the park,very nice,StrongPositive
,located among the vineyards and olive trees,Positive
,cannot wait until I can go back again,StrongPositive
the staff,so relaxing,StrongPositive
The atmosphere,so relaxing,StrongPositive
This,the most picturesque of Tuscany,StrongPositive
,Absolutely breathtaking,StrongPositive
Hotel and Villa Dievole,absolutely stunning,StrongPositive
,will definitely be back ! ! !,StrongPositive
The staff,friendly,Positive
The staff,knowledgeable,Positive
the entertainment,excellent,StrongPositive
The pool,amazing,StrongPositive
vacation,Best ever !,StrongPositive
vacation,the best I have ever had,StrongPositive
The food choices,outstanding,StrongPositive
,gym,Positive
choice,enjoy,Positive
choice,luxury,Positive
choice,comfort,Positive
choice,good,Positive
room,great,StrongPositive
the experience,excellent,StrongPositive
,pool,Positive
breakfast,good,Positive
choice,good,Positive
staff,Friendly,Positive
the Park behind the Hotel,stunning,Positive
the Park behind the Hotel,charming,Positive
bathroom,very small,StrongNegative
the Food,fantastic,StrongPositive
The People,friendly,Positive
carparking,you have to pay extra,Negative
carparking,120 € a Night,Negative
Hotel,Very Good,StrongPositive
Food,fantastic,StrongPositive
Food,Simply Good,Positive
breakfast staffs,Nice,Positive
wellness,Nice,Positive
wireless internet connections,Free,Positive
wireless internet connections,available in rooms and lobby,Positive
Breakfast,above average,Positive
Gym,sufficient for standard workouts,Positive
Gym,small,Negative
Bar,very good,StrongPositive
swimming pool,Never tried,Negative
the spa,Never tried,Negative
several deskstop computers for guest use,have,Positive
,Polite,Positive
,professional,Positive
its,near the Schiphol Airport,Negative
its,may get surge of guests,Negative
,Lots of groups passing in the weekends,Negative
service,2 star,Negative
Hotel ambience,good,Positive
amenities,4 star hotel,Positive
pizzeria,really good,StrongPositive
pizzeria,directly next,Positive
room.,Clean,Positive
staff.,helpful,Positive
balcony,nice,Positive
balcony,with sea view,Positive
the beach,95 % private,Negative
sandbeach,no,Negative
hotel,Good,Positive
hotel,no complaints,Positive
what we expected,gave,Positive
location,good,Positive
parking of the scootmobile,sorted without any fuss,Positive
the car park,a little busy,Negative
staff,very helpful,StrongPositive
staff,great,StrongPositive
dogs,accepts,Positive
the breakfast times,fine,Positive
groundfloor room,no problem,Positive
access for my scootmobile,no problem,Positive
it,to everýone 's satisfaction,Positive
staff,efficient,Positive
staff,friendly,Positive
a little later cut off on Sunday,would have preferred,Negative
place,Great,StrongPositive
management,great,StrongPositive
staff,great,StrongPositive
team,great,StrongPositive
everywhere,Very clean,StrongPositive
all inclusive service,The best I have ever experienced,StrongPositive
,would like to go byack,Positive
hotel,Nice,Positive
Everything,very clean,StrongPositive
Everything,well looked after,Positive
place,excellent,StrongPositive
,will be going back soon !,Positive
hotel,Best,StrongPositive
This hotel,has everything !,StrongPositive
Staff,helpfull,Positive
Staff,very friendly,StrongPositive
staff,helpful.athe,Positive
staff,very friendly,StrongPositive
amenities,good value for money.I,Positive
it,will choose,Positive
this hotel,strongly recommend,StrongPositive
value for money,Great,StrongPositive
experience,great,StrongPositive
rooms,There were,Positive
rooms,larger,Positive
rooms,smaller,Negative
some people,complained,Negative
brandy,perfume flavouring,Negative
whisky,perfume flavouring,Negative
Vodka,perfume flavouring,Negative
rum,perfume flavouring,Negative
facilities,good,Positive
Food,very basic,StrongNegative
it,edible,Positive
it,very very borring,StrongNegative
Service,wonderful,StrongPositive
The all inclusive spirits,a perfume taste,Negative
room,Clean,Positive
room,sizeable,Positive
stay,OK,Positive
The TV,stopped foor several moments,Negative
Staircase,not heated,Negative
Staircase,only on the outside,Negative
The room,OK,Positive
the internet connection,wasn 't sufficient,Negative
Hotel,under construction,Negative
Carpets,very old,StrongNegative
the nightlife ( Rembrantplein ),10 minutes by foot,Positive
stains,found,Negative
it,very dirty,StrongNegative
little insects,found,Negative
the money we spent for it,not worth,Negative
the sheets,not well cleaned,Negative
the bathroom,very little,StrongNegative
The hotel,remarkable for his position in the town,Positive
the sink,cannot use,Negative
the sink,space,Negative
the sink,there was no,Negative
Food,all tastes,Positive
Food,delicious,StrongPositive
Animation team,super,StrongPositive
swimming pool water,always warm.Barman,Positive
animation,very interesting.In,StrongPositive
guys,very funny,StrongPositive
hotel,Very cool,StrongPositive
hotel,chic !,StrongPositive
this hotel,advise everyone,Positive
Animation team,super,StrongPositive
Room,not hoovered,Negative
,Lot of homeless,Negative
,afraid about our safe,Negative
Metro,located about 5 · 7 minutes from hotel,Positive
lot of trash,throw all over the place,Negative
death rat,saw,Negative
,Never again !,StrongNegative
Hotel,placed about 30 minutes from center of Paris,Negative
Area around,awful,StrongNegative
there,avoid,Negative
hotel,good,Positive
hotel,basic,Negative
The room,fine,Positive
the Metro,close to,Positive
the food,excellent,StrongPositive
place,quiet,Positive
the centre of Amsterdam,easy to get,Positive
staff,friendly,Positive
some rennovation,was taking place,Negative
accommodation,Good,Positive
accommodation,clean,Positive
some strict rules,there are,Negative
information,No provided,Negative
Many people,pull out of the shuttle bus,Negative
Pre · Booking,a must,Negative
the ticket,bus driver does not sell,Negative
Airport shuttle,not complimentary,Negative
the shuttle bus,gratis,Positive
The reception,most helpful,StrongPositive
The hotel,well organized,Positive
The hotel,clean,Positive
Parking,no problem,Positive
this hotel,recommend,Positive
The beds,not too soft,Positive
The beds,perfect,StrongPositive
The beds,not too hard,Positive
the shuttle service,fantastic,StrongPositive
The showers,a dream,StrongPositive
help,quick,Positive
rest,Good,Positive
The atmosphere,professional,Positive
The atmosphere,warm,Positive
a forest,There is,Positive
hotel,Splendid,StrongPositive
hotel,near,Positive
hotel,"shopping center "" Diagonal Mar """,Positive
Hotel staff,very much,StrongPositive
Hotel,perfect !,StrongPositive
,great !,StrongPositive
the price,much lower,StrongPositive
personnel,helpful,Positive
personnel,very friendly,StrongPositive
,Best,StrongPositive
experience,really good,StrongPositive
welcome,very warm,StrongPositive
breakfast buffet,very nicely assorted,StrongPositive
staff,such a friendly,StrongPositive
staff,professional,Positive
staff,never seen,Positive
The rooms,nice,Positive
The food,good,Positive
,treated like family,Positive
Every need,happily,Positive
Every need,very quickly,StrongPositive
Every need,attended,Positive
The Gilde,There is no other hotel,Positive
hotel,beautiful !,StrongPositive
the gardens,beautiful !,StrongPositive
staff,well trained,Positive
staff,has,Positive
Hotel,Great,StrongPositive
The Hotel Gilde,the best I have ever been in !,StrongPositive
hotel,the best I have ever been in !,StrongPositive
this hotel,recommend,Positive
every part of the hotel,clean,Positive
every part of the hotel,bright,Positive
equipment,old,Negative
swimmingpool,super,StrongPositive
enterainment,nice,Positive
shows,nice,Positive
food,good,Positive
drinks,at al time,Positive
area,good,Positive
coktails,nice,Positive
drinks,super,StrongPositive
hotel,nice,Positive
food,good,Positive
animation team,super,StrongPositive
The hotel,fine,Positive
Handing out the keys,slow motion,Negative
Handing out the keys,ineffecient,Negative
the hotel building,charme,Positive
the hotel building,full of character,Positive
,had to argue,Negative
coffee / tea,had to ask twice,Negative
staff,below standard,Negative
service level,below standard,Negative
service,needs to be improved,Negative
used plates,remained too long on the tables,Negative
hotel,classic,Positive
hotel,Fine,Positive
Questions by my group members,answered politely,Positive
Questions by my group members,not being of help,Negative
Questions by my group members,not offering a solution,Negative
,looking forward to come again,Positive
stay,nice,Positive
Our stay,a real pleasure,StrongPositive
staff members,a lot of,Positive
staff members,not always efficient,Negative
beach activities,linked to tide hours ... ( only 3 hours / day .. ),Negative
beach club,restricted to Villa residents,Negative
,not really taking care of the result,Negative
,have to apply strict procedures,Negative
supervicion,oriented for control of procedure instead of control of the result and client satisfaction,Negative
,Paradise on earth,StrongPositive
rooms,should be separated for smokers and for family with children,Negative
rooms,great,StrongPositive
the place,maintained very well,StrongPositive
Beddings,comfortable,Positive
Beddings,warm,Positive
Coffee maker,with so many channels,Positive
dvd player,with so many channels,Positive
radio,with so many channels,Positive
tv,with so many channels,Positive
TV,with so many channels,Positive
Kettle,with so many channels,Positive
the breakfast servings,very generous,StrongPositive
Room,equipped,Positive
toiletries,Ample,Positive
towels,Ample,Positive
Alphons,very helpful,StrongPositive
room,Very clean,StrongPositive
room,fresh,Positive
This B & amp ; B,very clean,StrongPositive
This B & amp ; B,fresh,Positive
to change hotels,not allow,Negative
to change hotels,stuck once you book,Negative
Food,bacteria haven !!!!,StrongNegative
Food,inedible,Negative
Pool,closes at 7,Negative
assistance with issues,Cannot get,Negative
Hamburger meat,grey,Negative
,anything but grand !,Negative
phones,do not answer,Negative
,long waits for shuttle,Negative
,long distances,Negative
emails,no reply,Negative
vacation,The worst ever,StrongNegative
Sheets,stained,Negative
new ones,stained,Negative
the standard of cleanliness,impeccable,StrongPositive
The rooms,excellent,StrongPositive
staff,attentive,Positive
staff,not intrusive,Positive
surroundings,beautiful,Positive
holiday,wonderful,StrongPositive
food,excellent,StrongPositive
holiday,best,StrongPositive
holiday,best,StrongPositive
the holiday,all we could have hoped,StrongPositive
washbasin,There is,Positive
Shared shower,clean,Positive
toilets,clean,Positive
Shared shower,very steep,StrongNegative
toilets,very steep,StrongNegative
Shared shower,are down,Negative
toilets,are down,Negative
Shared shower,stairs,Negative
toilets,stairs,Negative
Full English breakfast,served on Sundays,Positive
breakfast,in another hotel,Negative
breakfast,served,Positive
it,nothing extraordinary,Negative
it,alright,Positive
it,the price,Positive
the attic room,the cheapest,Positive
it,absolutely alright,StrongPositive
room,very small,StrongNegative
room,not very pretty,Negative
the breakfast,a nice plus,Positive
the breakfast,nothing special,Negative
continental,very basic,Negative
the bed,comfy,Positive
coffee,provided,Positive
tea,provided,Positive
a kettle,provided,Positive
coffee,replenished,Positive
tea,replenished,Positive
a kettle,replenished,Positive
the sheets,clean,Positive
The Italian coffecorner Columbus,great.,StrongPositive
,will come back for sure,StrongPositive
the service,excellent,StrongPositive
Dana Beach Resort,great !,StrongPositive
The hotel,very very very very very very very excellent,StrongPositive
bad comments,No at all,Positive
The dinner,excellent,StrongPositive
The dinner,had a table all to ourselves,Positive
the view of the canal,could not have been better,StrongPositive
All of the staff,friendly,Positive
All of the staff,efficient,Positive
,Perfect,StrongPositive
situation,Delightful,StrongPositive
,were made to feel very welcome,StrongPositive
The rooms,big,Positive
The rooms,comfortable,Positive
The rooms,clean,Positive
Personal,very friendly,StrongPositive
Personal,work very hard,StrongPositive
week,very sunny,StrongPositive
week,will be back,Positive
week,relaxing,Positive
hotel,Top,StrongPositive
holiday,wonderfull,StrongPositive
the city center,would take an hour or so,Negative
here,would not suggest to come,Negative
the hotel,nice,Positive
Madrid,reach quite easily by using a nearby bus,Positive
personnel,kind,Positive
personnel,very friendly,StrongPositive
,Nice,Positive
,not for holidays,Negative
The hotel,very far from any nice sorrundings,StrongNegative
The hotel,nice,Positive
The hotel,clean,Positive
Everything,excellent,StrongPositive
this,my new favorite place to go on vacation,Positive
this resort,'d like to visit again !,Positive
The staff,always ready to help,StrongPositive
The staff,very friendly,StrongPositive
everything,perfect,StrongPositive
this resort,Love,StrongPositive
everything,very good,StrongPositive
,can 't really complain,Positive
this hotel,will go back,Positive
Food,a bit repeatative,Negative
food,Lots of eastern European,Negative
,Not much choice,Negative
staff,great,StrongPositive
hotel,family,Positive
hotel,Great,StrongPositive
hotel,friendly,Positive
hotel,Nice,Positive
Disco,always empty,Negative
Beaches,have rocks,Negative
Beaches,small,Negative
my own music,bring,Negative
my own music,would go back,Positive
Rooms,wonderful,StrongPositive
food,wonderful,StrongPositive
the dancers,Liked a lot,Positive
towels,don 't expect until 8.30 · 9.00 am,Negative
resort,good,Positive
time,Wonderful,StrongPositive
time,very good,StrongPositive
disco music,nothing to complain,Positive
disco music,needs to be adjusted,Negative
it,couldn 't find anything interesting,Negative
Window of the room,to the roadside and very many cars pass by this road,Negative
hotel,cheap,Positive
hotel,Small,Negative
Room,very small,StrongNegative
Room,poor,Negative
hotel,very small,StrongNegative
animaters,great,StrongPositive
,had so much fun,Positive
this hotel,recommend,Positive
,will come back for sure,StrongPositive
the Asian · Restaurant,just a dream,StrongPositive
,Just great,StrongPositive
time,awesome,StrongPositive
staff,efficient,Positive
staff,very friendly,StrongPositive
fitness,nice,Positive
rooms,view over Tallinn,Positive
hotel,Excellent,StrongPositive
hotel,wonderful,StrongPositive
,brand new,Positive
the staff,professional,Positive
the hotel,clean,Positive
experience,Disappointed,Negative
all Steigenburger hotels,Similar to,Positive
The rooms,spacious,Positive
The rooms,well · furnished,Positive
The atmosphere,relaxing,Positive
The atmosphere,delightfully tranquil,StrongPositive
the restaurant,excellent,StrongPositive
place,lovely,StrongPositive
place,to return,Positive
the bathroom,Our only criticism,Negative
the bathroom,little small,Negative
the bathroom,need of updating and refreshing,Negative
Room service,excellent,StrongPositive
it,adequate,Positive
it,immaculately clean,StrongPositive
our stay,enjoyed,Positive
our stay,would happily return,Positive
,Beautiful,Positive
,quiet,Positive
grounds,lovely,Positive
location,quiet,Positive
city of York,a couple of miles outside the,Positive
it,ride bus service,Positive
it,very well connected,StrongPositive
hotel,beautiful,Positive
Everything,wonderfully clean,StrongPositive
hosts,Friendly,Positive
hosts,helpful,Positive
range of food,wonderful,StrongPositive
Our hosts,friendly,Positive
Our hosts,very helpful,StrongPositive
the en · suite bathroom,ingeniously placed,Positive
the food,very tasty,StrongPositive
the atmosphere,amazing,StrongPositive
animation team,doing good job,Positive
animation team,have positive attitude to life,Positive
,came back tp Poland satisfied and relaxed,Positive
music,relaxing,Positive
room,comfortable,Positive
The waiters,realy reliable,StrongPositive
The waiters,litle bit serious,Negative
The waiters,helpful,Positive
aerobic.They,creative,Positive
aerobic.They,proffesional,Positive
aerobic.They,always smiling,Positive
architecture,interesting,Positive
gardens,beautiful,Positive
place,luxury,Positive
place,Fantastic,StrongPositive
Sunrise Mamlouk,very lovely,StrongPositive
Dana Beach,will come back,Positive
the childrens swimmingpool,was heated,Positive
internet,had to pay 20 Euro for a week,Negative
up to date flat screen,missed,Negative
the kitchenware,very deficient,StrongNegative
the madrasses,awfull hard,StrongNegative
the staff,did not understand much english,Negative
that,should be included,Negative
TV signal,not good,Negative
A stay,always will remember with joy and happiness,Positive
,not have been able to cook a meal,Negative
stay,very relaxing,StrongPositive
appartement,big,Positive
appartement,nice,Positive
holiday,super,StrongPositive
people,nice,Positive
service,nice,Positive
staff,friendly,Positive
staff,humorous,Positive
peace,some,Positive
activities,some,Positive
quiet,some,Positive
facilities,good,Positive
partyplace,Not,Positive
A nightclub,right across the street,Positive
hotel area,compact,Positive
hotel area,spacious,Positive
hotel area,Nice,Positive
hotel area,with all the things you want,Positive
restaurants,Lots of,Positive
Staff,well prepared,Positive
Staff,kind,Positive
style,modern,Positive
food,good quality,Positive
breakfast,Good quality,Positive
Wi fi,Free,Positive
·,Free,Positive
conncetion,good,Positive
service,really really slow,StrongNegative
hotel,Nice,Positive
room,Spacious,Positive
that atmosphere,did not match the new room,Negative
Restaurant,ok,Positive
stay,very good,StrongPositive
That,a surprise,Positive
stay,Surprising,Positive
stay,good,Positive
room,redecorated,Positive
room,refurnished,Positive
The bar,opened till late,Positive
The bar,serves cheap Carlsberg,Positive
,will be back,Positive
building,such a huge,Positive
it,easily spot from a distance,Positive
it,never get lost,Positive
accommodation,a good budget,Positive
the staff,not as friendly as one can expect,Negative
location,Good,Positive
location,budget,Positive
The Location,walking distance to Tivoli and the city center,Positive
The Location,excellent,StrongPositive
Breakfast,very good,StrongPositive
the toilet,wasnt clean,Negative
toilet,was cleaned,Positive
toilet,had no problem with this,Positive
our stay,really enjoyed,StrongPositive
dinner,excellent,StrongPositive
,very safisfied,StrongPositive
hotel,Nice,Positive
cuisine,excellent,StrongPositive
hotel,clean,Positive
hotel,Nice,Positive
,Wasn 't that easy to move around,Negative
The common area,very small,StrongNegative
it,6 · person dorm originally designed to be a 4 person one,Negative
It,6 · person dorm originally designed to be a 4 person one,Negative
The room,unbelievable small,StrongNegative
a supermarket,there is,Positive
it,doesn 't have such a hostel atmosphere,Negative
Breakfasts,aren 't included in the price,Negative
hostel,OK,Positive
The hotel,new,Positive
The hotel,nicely designed,Positive
ANIMATIONS,THE BEST,StrongPositive
The service,marvellous !,StrongPositive
leisure activities,great,StrongPositive
general competences,excellent,StrongPositive
The staff 's foreign languages,excellent,StrongPositive
This man,very funny,StrongPositive
This man,amazing,StrongPositive
This man,friendly,Positive
here,'ll come back,Positive
holiday,perfect,StrongPositive
holidays,wonderful,StrongPositive
resort,perfect,StrongPositive
choice,perfect,StrongPositive
